Timestamp,EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,TemperatureInCelcius,SystemCalibration,GyroCalibration,AccelerometerCalibration,MagnotometerCalibration,BatteryLevel,Received,Skipped,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,Euler_H_Diff1Sec,Euler_H_Diff2Sec,Euler_H_Diff3Sec,GestureNumber,GestureName,Bad
2762266,90.75,5.125,-43.625,0.65142822265625,0.22564697265625,-0.29779052734375,-0.66033935546875,0.17,0.56,-0.71,0.88,6.76,7.03,30,3,3,3,2,0,10,-1,-0.045069439555124,-0.105227785219926,0.0729983467268451,0,0,0,0,Relax,Bad
2762366,93.4375,4.3125,-44.125,0.63470458984375,0.22705078125,-0.30108642578125,-0.6744384765625,-0.05,-1.31,-0.78,0.7,6.79,7.03,30,3,3,3,2,0,20,-1,-0.0232551664118369,-0.115151877299049,-0.0589473889173739,0,0,0,0,Relax,OK
2762466,98.1875,0.1875,-44.4375,0.6058349609375,0.2459716796875,-0.28759765625,-0.6998291015625,-0.4,0.35,-0.56,-0.04,6.88,6.97,30,3,3,3,2,0,30,-1,-0.0382429877797982,-0.109467804919845,-0.0709057714766545,0,0,0,0,Relax,OK
2762566,100.4375,-4.6875,-44.5,0.5916748046875,0.2757568359375,-0.2620849609375,-0.7108154296875,-0.18,0.03,-0.6,-0.88,6.84,6.96,30,3,3,3,2,0,40,-1,-0.080741922249995,-0.0668830615668727,-0.104778958108075,0,0,0,0,Relax,OK
2762666,97.75,-11.4375,-44.3125,0.60650634765625,0.325439453125,-0.208984375,-0.69464111328125,-1.48,-1.91,-0.77,-2.1,6.7,6.83,30,3,3,3,2,0,50,-1,-0.14044758847782,-0.172608039924425,-0.189915145628597,0,0,0,0,Relax,OK
2762766,98.125,-21.1875,-39.75,0.60693359375,0.35833740234375,-0.115234375,-0.699951171875,-0.97,0.76,0.75,-3.68,5.69,7.08,30,3,3,3,2,0,60,-1,-0.254517489230759,-0.0591136838000427,-0.0534714363106997,0,0,0,0,Relax,OK
2762866,99.4375,-31.0625,-27.875,0.60577392578125,0.348388671875,0.01519775390625,-0.71514892578125,-2.46,-0.17,0.63,-5.23,3.59,7.47,30,3,3,3,3,0,70,-1,-0.36065935570987,-0.149688007498301,-0.014499424358772,0,0,0,0,Relax,OK
2762966,98.75,-39.25,-5.75,0.6123046875,0.28228759765625,0.18731689453125,-0.71435546875,0,1.41,0.33,-6.2,0.76,7.55,30,3,3,3,3,0,80,-1,-0.44458212867731,-0.0542320812734594,0.0448402229851636,0,0,0,0,Relax,OK
2763066,97.3125,-40.125,6.4375,0.61932373046875,0.2281494140625,0.261474609375,-0.70428466796875,0.56,-0.18,0.48,-6.32,-0.84,7.44,30,3,3,3,3,0,90,-1,-0.357903994167908,-0.0110640033899429,0.102202412536568,0,0,0,0,Relax,OK
2763166,96.5625,-38.75,10.5,0.625244140625,0.19830322265625,0.27850341796875,-0.70159912109375,-0.46,-0.39,0.94,-6.14,-1.4,7.51,30,3,3,3,3,0,100,-1,-0.327978771655499,-0.086918208157052,0.183020154102682,96.5625,0,0,0,Relax,OK
2763266,95.9375,-36.125,14.1875,0.63177490234375,0.1617431640625,0.28704833984375,-0.70166015625,-0.63,0.27,0.4,-5.78,-1.94,7.67,30,3,3,3,3,0,110,-1,-0.344679446036083,-0.0578829609864505,0.241969899703604,5.1875,0,0,0,Relax,OK
2763366,96.25,-32.875,15.6875,0.63433837890625,0.13299560546875,0.27978515625,-0.708251953125,-0.96,-0.16,-0.62,-5.32,-2.23,7.92,30,3,3,3,3,0,120,-1,-0.396589425321721,-0.0836264260254131,0.207325304920166,2.8125,0,0,0,Relax,OK
2763466,97.375,-29.9375,16.5625,0.63140869140625,0.11090087890625,0.26947021484375,-0.71856689453125,-0.93,0,-0.22,-4.9,-2.42,8.14,30,3,3,3,3,0,130,-1,-0.450358604336675,-0.0861706033531563,0.148773584108484,-0.8125,0,0,0,Relax,OK
2763566,98.8125,-26.5625,16.9375,0.626708984375,0.088623046875,0.2540283203125,-0.73138427734375,-0.66,0.07,-0.49,-4.39,-2.55,8.38,30,3,3,3,3,0,140,-1,-0.494650688093379,-0.0644787727412275,0.122146577310822,-1.625,0,0,0,Relax,OK
2763666,99.875,-23.625,16.1875,0.62359619140625,0.073486328125,0.23431396484375,-0.7421875,-0.93,0.04,-0.57,-3.93,-2.51,8.62,30,3,3,3,3,0,150,-1,-0.557185544687661,-0.0349605658129196,0.0662579602444977,2.125,0,0,0,Relax,OK
2763766,101.1875,-20.125,16.5,0.61859130859375,0.049560546875,0.2178955078125,-0.7532958984375,0.27,-0.64,-1.29,-3.37,-2.61,8.82,30,3,3,3,3,0,160,-1,-0.484820654442697,-0.10003489244721,-0.0365433715665118,3.0625,0,0,0,Relax,OK
2763866,103.625,-16.75,15.3125,0.60601806640625,0.03607177734375,0.1923828125,-0.77099609375,-0.28,0.78,-0.32,-2.83,-2.48,9.05,30,3,3,3,3,0,170,-1,-0.462775927685767,-0.0490329860372847,-0.129392971169211,4.1875,0,0,0,Relax,OK
2763966,105.4375,-13.5625,15.5625,0.595947265625,0.0146484375,0.1781005859375,-0.78289794921875,-0.6,0,0.9,-2.3,-2.56,9.18,30,3,3,3,3,0,180,-1,-0.45826990559281,-0.0433218669583832,-0.0563151868055006,6.6875,0,0,0,Relax,OK
2764066,107.25,-9.375,16.25,0.58477783203125,-0.01654052734375,0.161865234375,-0.794677734375,-0.42,0,0.35,-1.59,-2.71,9.28,30,3,3,3,3,0,190,-1,-0.459596091254106,-0.0401386603609076,-0.00882444198207297,9.9375,0,0,0,Relax,OK
2764166,109.25,-3.9375,15.1875,0.57330322265625,-0.0482177734375,0.12811279296875,-0.807861328125,-0.31,0.07,0.25,-0.67,-2.57,9.43,30,3,3,3,3,0,200,-1,-0.449109942159481,-0.034808781966056,0.0262763139610208,12.6875,109.25,0,0,Relax,OK
2764266,111.25,2.25,14.125,0.56011962890625,-0.08587646484375,0.0902099609375,-0.8189697265625,-0.65,0.24,-0.39,0.38,-2.39,9.5,30,3,3,3,3,0,210,-1,-0.453186989642116,-0.0294158136747546,0.0284812312407636,15.3125,20.5,0,0,Relax,OK
2764366,112.875,8.625,12.5,0.5477294921875,-0.12286376953125,0.04833984375,-0.826171875,-0.44,0.3,-1.09,1.47,-2.1,9.46,30,3,3,3,3,0,220,-1,-0.453691308409919,0.00406869017311426,-0.0489731938263526,16.625,19.4375,0,0,Relax,OK
2764466,113.9375,13.8125,10.8125,0.537841796875,-0.15472412109375,0.00726318359375,-0.82867431640625,-0.37,0.09,-0.93,2.43,-1.74,9.33,30,3,3,3,3,0,230,-1,-0.445240915086446,0.0208316710130826,-0.139626568423256,16.5625,15.75,0,0,Relax,OK
2764566,115.0625,19.25,8.4375,0.52685546875,-0.1820068359375,-0.034423828125,-0.82952880859375,-0.56,0.12,-0.95,3.31,-1.32,9.13,30,3,3,3,3,0,240,-1,-0.446526235901286,0.0240030059582206,-0.217149622520121,16.25,14.625,0,0,Relax,OK
2764666,115.75,24,5.125,0.51922607421875,-0.2001953125,-0.07940673828125,-0.8270263671875,-0.32,0.6,-1.15,4.05,-0.75,8.89,30,3,3,3,3,0,250,-1,-0.454329373690334,0.0754449172910858,-0.331990902546316,15.875,18,0,0,Relax,OK
2764766,115.9375,27.875,2.5625,0.51385498046875,-0.21728515625,-0.11285400390625,-0.8221435546875,0.46,-0.1,-0.64,4.64,-0.37,8.63,30,3,3,3,3,0,260,-1,-0.384877649395063,0.0786739195690128,-0.360722952322673,14.75,17.8125,0,0,Relax,OK
2764866,116.1875,31,1.1875,0.50885009765625,-0.23236083984375,-0.1334228515625,-0.818115234375,0.15,-0.01,-0.84,5.09,-0.16,8.37,30,3,3,3,3,0,270,-1,-0.313212357397047,0.0889228630377836,-0.411562405346063,12.5625,16.75,0,0,Relax,OK
2764966,116.25,33.5625,-0.6875,0.50543212890625,-0.24267578125,-0.1572265625,-0.81298828125,0.17,-0.13,-0.14,5.45,0.12,8.14,30,3,3,3,3,0,280,-1,-0.275580752902579,0.0957664361126488,-0.433089015277821,10.8125,17.5,0,0,Relax,OK
