EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
73.625,-10.3125,-22.9375,-0.781433105,-0.212646484,0.044128418,0.585021973,0,0,0.22,-1.76,3.76,8.88,0.264311568,-0.045313859,-0.145365596,0,Relax
72.1875,-9.375,-22.9375,-0.789123535,-0.208190918,0.04864502,0.575866699,-0.3,0.02,-0.12,-1.59,3.77,8.91,0.252378137,-0.0482286,-0.164957316,0,Relax
71.5,-9,-22.25,-0.793884277,-0.202209473,0.047058105,0.571533203,-0.46,-0.21,-0.22,-1.53,3.67,8.96,0.201033354,-0.074855862,-0.195573661,0,Relax
72.6875,-8.8125,-22.625,-0.78729248,-0.203186035,0.052246094,0.579772949,-0.04,-0.01,-0.3,-1.5,3.73,8.94,0.178612407,-0.089309973,-0.240136047,0,Relax
74.5625,-9,-23.5,-0.776611328,-0.209228516,0.05859375,0.591369629,0.37,-0.07,-0.04,-1.53,3.86,8.88,0.194385528,-0.093117858,-0.266206898,0,Relax
75.5,-9.0625,-24.125,-0.770690918,-0.213378906,0.06262207,0.597106934,0.54,0.06,0.3,-1.55,3.95,8.83,0.240093803,-0.085402808,-0.255204027,0,Relax
75.3125,-8.875,-24.0625,-0.771728516,-0.212341309,0.063659668,0.596008301,0.21,0.19,0.3,-1.51,3.95,8.84,0.268353154,-0.076910599,-0.228278119,0,Relax
74.8125,-8.4375,-24.125,-0.774414063,-0.2109375,0.066101074,0.592834473,0.08,0.18,0.02,-1.44,3.97,8.84,0.266844335,-0.061126959,-0.225629962,0,Relax
74.0625,-8.0625,-24.3125,-0.778442383,-0.210327148,0.068359375,0.587463379,-0.03,0.14,0.01,-1.37,3.99,8.84,0.256072028,-0.046157333,-0.237848928,0,Relax
73.0625,-7.625,-23.9375,-0.784240723,-0.206054688,0.068054199,0.581237793,-0.48,-0.21,-0.02,-1.3,3.94,8.88,0.216651573,-0.037297733,-0.220017958,0,Relax
