Timestamp,EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,TemperatureInCelcius,SystemCalibration,GyroCalibration,AccelerometerCalibration,MagnotometerCalibration,BatteryLevel,Received,Skipped
586275,44,-4.6875,-5.0625,-0.92535400390625,-0.0565185546875,-0.02130126953125,0.374267578125,-0.01,0.08,-0.09,-0.8,0.87,9.73,29,0,0,3,2,0,0,0,2016-08-22 15:02:20.838
586285,44,-4.6875,-5.125,-0.92535400390625,-0.05706787109375,-0.02117919921875,0.37420654296875,-0.01,0.08,-0.09,-0.8,0.89,9.73,29,0,0,3,2,0,1,0,2016-08-22 15:02:20.848
586295,44,-4.6875,-5.1875,-0.92535400390625,-0.0576171875,-0.02099609375,0.3741455078125,-0.08,0.19,0.08,-0.8,0.9,9.73,29,0,0,3,2,0,2,0,2016-08-22 15:02:20.858
586305,44,-4.6875,-5.25,-0.9254150390625,-0.05804443359375,-0.02081298828125,0.37396240234375,-0.05,0.23,-0.16,-0.8,0.9,9.73,29,0,0,3,2,0,3,0,2016-08-22 15:02:20.868
586315,43.9375,-4.6875,-5.3125,-0.9254150390625,-0.05828857421875,-0.020751953125,0.37384033203125,0,0.22,-0.19,-0.8,0.9,9.73,29,0,0,3,2,0,4,0,2016-08-22 15:02:20.878
586325,43.9375,-4.6875,-5.25,-0.9254150390625,-0.0582275390625,-0.02081298828125,0.37384033203125,0,0.11,-0.01,-0.8,0.89,9.73,29,0,0,3,2,0,5,0,2016-08-22 15:02:20.888
586335,44,-4.6875,-5.25,-0.9254150390625,-0.05792236328125,-0.02093505859375,0.37396240234375,0,0.11,-0.01,-0.8,0.89,9.73,29,0,0,3,2,0,6,0,2016-08-22 15:02:20.898
586345,44,-4.6875,-5.1875,-0.92529296875,-0.05755615234375,-0.02099609375,0.37420654296875,0.01,0.02,-0.02,-0.8,0.89,9.73,29,0,0,3,2,0,7,0,2016-08-22 15:02:20.908
586355,44.0625,-4.6875,-5.125,-0.92523193359375,-0.05706787109375,-0.0211181640625,0.37451171875,0,-0.16,-0.06,-0.8,0.87,9.73,29,0,0,3,2,0,8,0,2016-08-22 15:02:20.918
586365,44.0625,-4.625,-5.125,-0.92510986328125,-0.05670166015625,-0.02117919921875,0.37481689453125,-0.04,-0.19,-0.06,-0.8,0.86,9.73,29,0,0,3,2,0,9,0,2016-08-22 15:02:20.928
586375,44.125,-4.625,-5.0625,-0.925048828125,-0.0565185546875,-0.021240234375,0.37506103515625,-0.03,-0.17,0,-0.8,0.86,9.73,29,0,0,3,2,0,10,0,2016-08-22 15:02:20.938
586385,44.125,-4.625,-5.0625,-0.92498779296875,-0.0565185546875,-0.021240234375,0.37518310546875,-0.03,-0.17,0,-0.8,0.87,9.73,29,0,0,3,2,0,11,0,2016-08-22 15:02:20.948
586395,44.125,-4.625,-5.125,-0.92498779296875,-0.0567626953125,-0.0211181640625,0.37518310546875,0,-0.13,0.02,-0.8,0.88,9.73,29,0,0,3,2,0,12,0,2016-08-22 15:02:20.958
586405,44.125,-4.625,-5.125,-0.92498779296875,-0.05718994140625,-0.02093505859375,0.3751220703125,-0.03,0.07,-0.09,-0.8,0.89,9.73,29,0,0,3,2,0,13,0,2016-08-22 15:02:20.968
586415,44.125,-4.625,-5.25,-0.92498779296875,-0.0577392578125,-0.02069091796875,0.37506103515625,-0.03,0.17,-0.01,-0.8,0.9,9.73,29,0,0,3,2,0,14,0,2016-08-22 15:02:20.978
586425,44.125,-4.625,-5.3125,-0.92498779296875,-0.05828857421875,-0.0205078125,0.375,0.01,0.18,0,-0.8,0.91,9.73,29,0,0,3,2,0,15,0,2016-08-22 15:02:20.988
586435,44.125,-4.625,-5.3125,-0.92498779296875,-0.0587158203125,-0.02032470703125,0.37493896484375,0.01,0.18,0,-0.8,0.91,9.73,29,0,0,3,2,0,16,0,2016-08-22 15:02:20.998
586445,44.125,-4.625,-5.375,-0.92498779296875,-0.05889892578125,-0.02020263671875,0.37493896484375,0.03,0.25,-0.05,-0.8,0.91,9.73,29,0,0,3,2,0,17,0,2016-08-22 15:02:21.008
586455,44.125,-4.625,-5.375,-0.92498779296875,-0.05889892578125,-0.02020263671875,0.37493896484375,0.03,0.2,-0.11,-0.8,0.91,9.73,29,0,0,3,2,0,18,0,2016-08-22 15:02:21.018
586465,44.125,-4.625,-5.375,-0.9249267578125,-0.05877685546875,-0.020263671875,0.375,0.04,0.17,-0.1,-0.8,0.91,9.73,29,0,0,3,2,0,19,0,2016-08-22 15:02:21.028
586475,44.125,-4.625,-5.3125,-0.92486572265625,-0.0584716796875,-0.02044677734375,0.3751220703125,0.02,0.05,0,-0.8,0.9,9.73,29,0,0,3,2,0,20,0,2016-08-22 15:02:21.038
586485,44.125,-4.625,-5.25,-0.92486572265625,-0.05810546875,-0.02056884765625,0.37530517578125,0.02,0.05,0,-0.8,0.9,9.73,29,0,0,3,2,0,21,0,2016-08-22 15:02:21.048
586495,44.1875,-4.625,-5.1875,-0.9248046875,-0.05767822265625,-0.020751953125,0.37554931640625,0,-0.02,0.03,-0.8,0.89,9.73,29,0,0,3,2,0,22,0,2016-08-22 15:02:21.058
586505,44.1875,-4.625,-5.1875,-0.92474365234375,-0.05731201171875,-0.02081298828125,0.37567138671875,0,-0.19,-0.08,-0.79,0.88,9.73,29,0,0,3,2,0,23,0,2016-08-22 15:02:21.068
586515,44.1875,-4.625,-5.125,-0.9246826171875,-0.05706787109375,-0.0208740234375,0.3758544921875,0.02,-0.18,-0.05,-0.79,0.87,9.73,29,0,0,3,2,0,24,0,2016-08-22 15:02:21.078
586525,44.25,-4.625,-5.125,-0.9246826171875,-0.05694580078125,-0.02093505859375,0.37591552734375,0,-0.1,0,-0.79,0.87,9.73,29,0,0,3,2,0,25,0,2016-08-22 15:02:21.088
586535,44.25,-4.625,-5.125,-0.9246826171875,-0.05694580078125,-0.02093505859375,0.37591552734375,0,-0.1,0,-0.79,0.87,9.73,29,0,0,3,2,0,26,0,2016-08-22 15:02:21.098
586545,44.1875,-4.625,-5.125,-0.9246826171875,-0.05712890625,-0.0208740234375,0.3758544921875,-0.01,-0.04,0.01,-0.79,0.88,9.73,29,0,0,3,2,0,27,0,2016-08-22 15:02:21.108
586555,44.1875,-4.625,-5.1875,-0.9246826171875,-0.057373046875,-0.020751953125,0.375732421875,-0.05,0.11,-0.13,-0.79,0.89,9.73,29,0,0,3,2,0,28,0,2016-08-22 15:02:21.118
586565,44.1875,-4.625,-5.1875,-0.92474365234375,-0.05767822265625,-0.0206298828125,0.3756103515625,-0.07,0.15,-0.03,-0.79,0.9,9.73,29,0,0,3,2,0,29,0,2016-08-22 15:02:21.128
586575,44.1875,-4.625,-5.25,-0.9248046875,-0.0579833984375,-0.02056884765625,0.37548828125,-0.07,0.19,-0.05,-0.79,0.9,9.73,29,0,0,3,2,0,30,0,2016-08-22 15:02:21.138
586585,44.125,-4.625,-5.3125,-0.9248046875,-0.0582275390625,-0.02044677734375,0.3753662109375,-0.07,0.19,-0.05,-0.79,0.9,9.73,29,0,0,3,2,0,31,0,2016-08-22 15:02:21.148
586595,44.125,-4.625,-5.3125,-0.92486572265625,-0.0584716796875,-0.0203857421875,0.375244140625,-0.03,0.12,0,-0.79,0.91,9.73,29,0,0,3,2,0,32,0,2016-08-22 15:02:21.158
586605,44.125,-4.625,-5.3125,-0.92486572265625,-0.0584716796875,-0.0203857421875,0.375244140625,0.04,0.08,-0.13,-0.8,0.9,9.73,29,0,0,3,2,0,33,0,2016-08-22 15:02:21.168
586615,44.125,-4.625,-5.3125,-0.9248046875,-0.05841064453125,-0.02044677734375,0.37530517578125,0.06,0.08,-0.08,-0.8,0.9,9.73,29,0,0,3,2,0,34,0,2016-08-22 15:02:21.178
586625,44.1875,-4.625,-5.3125,-0.9248046875,-0.0582275390625,-0.0205078125,0.37542724609375,0.05,0.02,-0.01,-0.8,0.9,9.73,29,0,0,3,2,0,35,0,2016-08-22 15:02:21.188
586635,44.1875,-4.625,-5.25,-0.92474365234375,-0.05810546875,-0.0205078125,0.37548828125,0.05,0.02,-0.01,-0.8,0.9,9.73,29,0,0,3,2,0,36,0,2016-08-22 15:02:21.198
586645,44.1875,-4.625,-5.25,-0.9248046875,-0.05804443359375,-0.02056884765625,0.37548828125,-0.02,0.01,0.03,-0.8,0.9,9.73,29,0,0,3,2,0,37,0,2016-08-22 15:02:21.208
586655,44.1875,-4.625,-5.25,-0.9248046875,-0.05804443359375,-0.02056884765625,0.37542724609375,-0.04,0,-0.05,-0.8,0.9,9.73,29,0,0,3,2,0,38,0,2016-08-22 15:02:21.218
586665,44.125,-4.625,-5.25,-0.92486572265625,-0.05816650390625,-0.0205078125,0.37530517578125,-0.01,0.03,-0.14,-0.79,0.9,9.73,29,0,0,3,2,0,39,0,2016-08-22 15:02:21.228
586675,44.125,-4.625,-5.3125,-0.92486572265625,-0.05828857421875,-0.02044677734375,0.375244140625,0,0,-0.02,-0.79,0.91,9.73,29,0,0,3,2,0,40,0,2016-08-22 15:02:21.238
586685,44.125,-4.625,-5.3125,-0.9249267578125,-0.05841064453125,-0.0203857421875,0.3751220703125,0,0,-0.02,-0.79,0.91,9.73,29,0,0,3,2,0,41,0,2016-08-22 15:02:21.248
586695,44.125,-4.625,-5.3125,-0.92486572265625,-0.05859375,-0.02032470703125,0.3751220703125,0.02,0.04,0.03,-0.79,0.91,9.73,29,0,0,3,2,0,42,0,2016-08-22 15:02:21.258
586705,44.125,-4.625,-5.375,-0.92486572265625,-0.05877685546875,-0.020263671875,0.3751220703125,0.05,0.05,-0.04,-0.79,0.91,9.73,29,0,0,3,2,0,43,0,2016-08-22 15:02:21.268
586715,44.125,-4.625,-5.375,-0.92486572265625,-0.05889892578125,-0.02020263671875,0.37518310546875,0.05,0.05,-0.04,-0.8,0.92,9.73,29,0,0,3,2,0,44,0,2016-08-22 15:02:21.278
586725,44.125,-4.625,-5.375,-0.9248046875,-0.05902099609375,-0.02020263671875,0.375244140625,0.03,0.13,0.06,-0.8,0.92,9.72,29,0,0,3,2,0,45,0,2016-08-22 15:02:21.288
586735,44.125,-4.6875,-5.375,-0.9248046875,-0.0592041015625,-0.02020263671875,0.375244140625,0.03,0.13,0.06,-0.8,0.92,9.72,29,0,0,3,2,0,46,0,2016-08-22 15:02:21.298
586745,44.125,-4.6875,-5.4375,-0.9248046875,-0.05938720703125,-0.02020263671875,0.37518310546875,0,0.15,-0.03,-0.8,0.92,9.72,29,0,0,3,2,0,47,0,2016-08-22 15:02:21.308
586755,44.125,-4.6875,-5.4375,-0.92486572265625,-0.05963134765625,-0.02020263671875,0.37506103515625,0,0.14,-0.07,-0.8,0.93,9.72,29,0,0,3,2,0,48,0,2016-08-22 15:02:21.318
586765,44.125,-4.6875,-5.5,-0.92486572265625,-0.05987548828125,-0.020263671875,0.37493896484375,-0.01,0.15,-0.08,-0.81,0.93,9.72,29,0,0,3,2,0,49,0,2016-08-22 15:02:21.328
586775,44.125,-4.6875,-5.5,-0.92486572265625,-0.0599365234375,-0.0203857421875,0.37493896484375,-0.02,0.13,-0.01,-0.81,0.93,9.72,29,0,0,3,2,0,50,0,2016-08-22 15:02:21.338
586785,44.125,-4.6875,-5.4375,-0.92486572265625,-0.059814453125,-0.0205078125,0.375,-0.03,0.06,-0.05,-0.81,0.93,9.72,29,0,0,3,2,0,51,0,2016-08-22 15:02:21.348
